,Date,Type,Value
125,Oct 2021,Transport,1.08
126,Oct 2021,Recreation and culture,0.29
127,Oct 2021,Restaurants and hotels,0.43
128,Oct 2021,Other goods and services,0.31
129,Oct 2021,CPIH 12-month inflation rate,3.8
130,Nov 2021,Food and non-alcoholic beverages,0.23
131,Nov 2021,Alcohol and tobacco,0.17
132,Nov 2021,Clothing and footwear,0.22
133,Nov 2021,Housing and household services,1.28
134,Nov 2021,Furniture and household goods,0.31
135,Nov 2021,Transport,1.34
136,Nov 2021,Recreation and culture,0.38
137,Nov 2021,Restaurants and hotels,0.34
138,Nov 2021,Other goods and services,0.31
139,Nov 2021,CPIH 12-month inflation rate,4.6
140,Dec 2021,Food and non-alcoholic beverages,0.37
141,Dec 2021,Alcohol and tobacco,0.14
142,Dec 2021,Clothing and footwear,0.26
143,Dec 2021,Housing and household services,1.31
144,Dec 2021,Furniture and household goods,0.37
145,Dec 2021,Transport,1.29
146,Dec 2021,Recreation and culture,0.34
147,Dec 2021,Restaurants and hotels,0.41
148,Dec 2021,Other goods and services,0.34
149,Dec 2021,CPIH 12-month inflation rate,4.8
150,Jan 2022,Food and non-alcoholic beverages,0.39
151,Jan 2022,Alcohol and tobacco,0.12
152,Jan 2022,Clothing and footwear,0.41
153,Jan 2022,Housing and household services,1.37
154,Jan 2022,Furniture and household goods,0.41
155,Jan 2022,Transport,1.24
156,Jan 2022,Recreation and culture,0.32
157,Jan 2022,Restaurants and hotels,0.31
158,Jan 2022,Other goods and services,0.33
159,Jan 2022,CPIH 12-month inflation rate,4.9
160,Feb 2022,Food and non-alcoholic beverages,0.46
161,Feb 2022,Alcohol and tobacco,0.13
162,Feb 2022,Clothing and footwear,0.54
163,Feb 2022,Housing and household services,1.39
164,Feb 2022,Furniture and household goods,0.48
165,Feb 2022,Transport,1.26
166,Feb 2022,Recreation and culture,0.51
167,Feb 2022,Restaurants and hotels,0.36
168,Feb 2022,Other goods and services,0.35
169,Feb 2022,CPIH 12-month inflation rate,5.5
170,Mar 2022,Food and non-alcoholic beverages,0.53
171,Mar 2022,Alcohol and tobacco,0.18
172,Mar 2022,Clothing and footwear,0.57
173,Mar 2022,Housing and household services,1.49
174,Mar 2022,Furniture and household goods,0.57
175,Mar 2022,Transport,1.47
176,Mar 2022,Recreation and culture,0.55
177,Mar 2022,Restaurants and hotels,0.53
178,Mar 2022,Other goods and services,0.34
179,Mar 2022,CPIH 12-month inflation rate,6.2
180,Apr 2022,Food and non-alcoholic beverages,0.61
181,Apr 2022,Alcohol and tobacco,0.17
182,Apr 2022,Clothing and footwear,0.48
183,Apr 2022,Housing and household services,2.76
184,Apr 2022,Furniture and household goods,0.57
185,Apr 2022,Transport,1.47
186,Apr 2022,Recreation and culture,0.64
187,Apr 2022,Restaurants and hotels,0.64
188,Apr 2022,Other goods and services,0.44
189,Apr 2022,CPIH 12-month inflation rate,7.8
190,May 2022,Food and non-alcoholic beverages,0.78
191,May 2022,Alcohol and tobacco,0.19
192,May 2022,Clothing and footwear,0.4
193,May 2022,Housing and household services,2.79
194,May 2022,Furniture and household goods,0.6
195,May 2022,Transport,1.5
196,May 2022,Recreation and culture,0.54
197,May 2022,Restaurants and hotels,0.64
198,May 2022,Other goods and services,0.44
199,May 2022,CPIH 12-month inflation rate,7.9
200,Jun 2022,Food and non-alcoholic beverages,0.89
201,Jun 2022,Alcohol and tobacco,0.18
202,Jun 2022,Clothing and footwear,0.35
203,Jun 2022,Housing and household services,2.82
204,Jun 2022,Furniture and household goods,0.59
205,Jun 2022,Transport,1.64
206,Jun 2022,Recreation and culture,0.52
207,Jun 2022,Restaurants and hotels,0.73
208,Jun 2022,Other goods and services,0.46
209,Jun 2022,CPIH 12-month inflation rate,8.2
210,Jul 2022,Food and non-alcoholic beverages,1.15
211,Jul 2022,Alcohol and tobacco,0.2
212,Jul 2022,Clothing and footwear,0.39
213,Jul 2022,Housing and household services,2.91
214,Jul 2022,Furniture and household goods,0.56
215,Jul 2022,Transport,1.66
216,Jul 2022,Recreation and culture,0.6
217,Jul 2022,Restaurants and hotels,0.78
218,Jul 2022,Other goods and services,0.52
219,Jul 2022,CPIH 12-month inflation rate,8.8
220,Aug 2022,Food and non-alcoholic beverages,1.2
221,Aug 2022,Alcohol and tobacco,0.21
222,Aug 2022,Clothing and footwear,0.43
223,Aug 2022,Housing and household services,2.9
224,Aug 2022,Furniture and household goods,0.58
225,Aug 2022,Transport,1.36
226,Aug 2022,Recreation and culture,0.57
227,Aug 2022,Restaurants and hotels,0.79
228,Aug 2022,Other goods and services,0.58
229,Aug 2022,CPIH 12-month inflation rate,8.6
230,Sep 2022,Food and non-alcoholic beverages,1.33
231,Sep 2022,Alcohol and tobacco,0.21
232,Sep 2022,Clothing and footwear,0.46
233,Sep 2022,Housing and household services,2.94
234,Sep 2022,Furniture and household goods,0.63
235,Sep 2022,Transport,1.2
236,Sep 2022,Recreation and culture,0.56
237,Sep 2022,Restaurants and hotels,0.87
238,Sep 2022,Other goods and services,0.61
239,Sep 2022,CPIH 12-month inflation rate,8.8
240,Oct 2022,Food and non-alcoholic beverages,1.48
241,Oct 2022,Alcohol and tobacco,0.23
242,Oct 2022,Clothing and footwear,0.45
243,Oct 2022,Housing and household services,3.68
244,Oct 2022,Furniture and household goods,0.63
245,Oct 2022,Transport,1.02
246,Oct 2022,Recreation and culture,0.62
247,Oct 2022,Restaurants and hotels,0.88
248,Oct 2022,Other goods and services,0.6
249,Oct 2022,CPIH 12-month inflation rate,9.6
