Date,Type,Value,Price
01/10/1989,All,45140,58358
01/01/1990,Private Enterprise,34840,
01/01/1990,Housing Associations,2840,
01/01/1990,Local Authorities,3340,
01/01/1990,All,41020,57083
01/04/1990,Private Enterprise,31540,
01/04/1990,Housing Associations,3440,
01/04/1990,Local Authorities,3640,
01/04/1990,All,38630,56515
01/07/1990,Private Enterprise,33010,
01/07/1990,Housing Associations,3360,
01/07/1990,Local Authorities,4050,
01/07/1990,All,40430,57310
01/10/1990,Private Enterprise,36660,
01/10/1990,Housing Associations,4170,
01/10/1990,Local Authorities,2990,
01/10/1990,All,43830,56231
01/01/1991,Private Enterprise,31280,
01/01/1991,Housing Associations,3590,
01/01/1991,Local Authorities,2280,
01/01/1991,All,37150,55209
01/04/1991,Private Enterprise,32150,
01/04/1991,Housing Associations,4260,
01/04/1991,Local Authorities,2550,
01/04/1991,All,38960,55266
01/07/1991,Private Enterprise,32890,
01/07/1991,Housing Associations,4020,
01/07/1991,Local Authorities,1870,
01/07/1991,All,38780,56345
01/10/1991,Private Enterprise,34860,
01/10/1991,Housing Associations,3420,
01/10/1991,Local Authorities,1430,
01/10/1991,All,39710,55436
01/01/1992,Private Enterprise,32150,
01/01/1992,Housing Associations,4270,
01/01/1992,Local Authorities,1270,
01/01/1992,All,37690,54414
01/04/1992,Private Enterprise,28550,
01/04/1992,Housing Associations,4380,
01/04/1992,Local Authorities,920,
01/04/1992,All,33850,52994
01/07/1992,Private Enterprise,29850,
01/07/1992,Housing Associations,5590,
01/07/1992,Local Authorities,800,
01/07/1992,All,36240,53149
01/10/1992,Private Enterprise,28980,
01/10/1992,Housing Associations,6550,
01/10/1992,Local Authorities,530,
01/10/1992,All,36050,50814
01/01/1993,Private Enterprise,28530,
01/01/1993,Housing Associations,7450,
01/01/1993,Local Authorities,340,
01/01/1993,All,36320,51333
01/04/1993,Private Enterprise,27890,
01/04/1993,Housing Associations,7230,
01/04/1993,Local Authorities,500,
01/04/1993,All,35610,51488
01/07/1993,Private Enterprise,28550,
01/07/1993,Housing Associations,7030,
01/07/1993,Local Authorities,330,
01/07/1993,All,35910,52578
01/10/1993,Private Enterprise,31670,
01/10/1993,Housing Associations,8070,
01/10/1993,Local Authorities,260,
01/10/1993,All,40000,51800
01/01/1994,Private Enterprise,27950,
01/01/1994,Housing Associations,7890,
01/01/1994,Local Authorities,360,
01/01/1994,All,36200,52475
01/04/1994,Private Enterprise,29220,
01/04/1994,Housing Associations,7080,
01/04/1994,Local Authorities,260,
01/04/1994,All,36560,53046
01/07/1994,Private Enterprise,31810,
01/07/1994,Housing Associations,7850,
01/07/1994,Local Authorities,350,
01/07/1994,All,40000,53720
01/10/1994,Private Enterprise,33730,
01/10/1994,Housing Associations,8040,
01/10/1994,Local Authorities,120,
01/10/1994,All,41880,53668
01/01/1995,Private Enterprise,30990,
01/01/1995,Housing Associations,8410,
01/01/1995,Local Authorities,120,
01/01/1995,All,39520,53166.66667
01/04/1995,Private Enterprise,31880,
01/04/1995,Housing Associations,8260,
01/04/1995,Local Authorities,120,
01/04/1995,All,40260,53668
01/07/1995,Private Enterprise,30690,
01/07/1995,Housing Associations,6780,
01/07/1995,Local Authorities,220,
01/07/1995,All,37690,53603.33333
01/10/1995,Private Enterprise,31910,
01/10/1995,Housing Associations,7450,
01/10/1995,Local Authorities,320,
01/10/1995,All,39670,52851.66667
01/01/1996,Private Enterprise,29140,
01/01/1996,Housing Associations,7750,
01/01/1996,Local Authorities,90,
01/01/1996,All,36980,52517.33333
01/04/1996,Private Enterprise,28570,
01/04/1996,Housing Associations,6510,
01/04/1996,Local Authorities,130,
01/04/1996,All,35220,53748.66667
01/07/1996,Private Enterprise,30300,
01/07/1996,Housing Associations,6370,
01/07/1996,Local Authorities,110,
01/07/1996,All,36780,54945.66667
01/10/1996,Private Enterprise,33550,
01/10/1996,Housing Associations,6390,
01/10/1996,Local Authorities,180,
01/10/1996,All,40110,55394.33333
01/01/1997,Private Enterprise,28750,
01/01/1997,Housing Associations,5360,
01/01/1997,Local Authorities,30,
01/01/1997,All,34140,56257.33333
