Year,Date,house_price_change,mortgage_rate_change,Period
2000-08,Aug 00,1.54,2.584814216,Normal
2000-09,Sep 00,1.56,1.446945338,Normal
2000-10,Oct 00,0.63,-6.923076923,Normal
2000-11,Nov 00,1.31,-8.181818182,Normal
2000-12,Dec 00,1.13,-7.515337423,Normal
2001-01,Jan 01,0.2,-14.74926254,Normal
2001-02,Feb 01,0.55,-16.05301915,Normal
2001-03,Mar 01,1.83,-11.9379845,Normal
2001-04,Apr 01,3.4,-10.77654517,Normal
2001-05,May 01,0.89,-11.58059468,Normal
2001-06,Jun 01,1.15,-11.45510836,Normal
2001-07,Jul 01,1.59,-7.064364207,Normal
2001-08,Aug 01,1.14,-12.12598425,Normal
2001-09,Sep 01,0.1,-14.5800317,Normal
2001-10,Oct 01,-0.39,-16.36363636,Normal
2001-11,Nov 01,0.34,-20.1320132,Normal
2001-12,Dec 01,0.77,-17.41293532,Normal
2002-01,Jan 02,0.22,-12.4567474,Normal
2002-02,Feb 02,-0.16,-9.824561404,Normal
2002-03,Mar 02,1.18,-8.098591549,Normal
2002-04,Apr 02,2.58,-4.973357016,Normal
2002-05,May 02,1.46,-3.89380531,Normal
2002-06,Jun 02,1.42,-5.41958042,Normal
2002-07,Jul 02,1.61,-10.47297297,Normal
2002-08,Aug 02,2.08,-17.74193548,Normal
2002-09,Sep 02,0.38,-16.51205937,Normal
2002-10,Oct 02,0.51,-12.45059289,Normal
2002-11,Nov 02,0.98,-8.05785124,Normal
2002-12,Dec 02,0.96,-7.228915663,Normal
2003-01,Jan 03,0.23,-11.06719368,Normal
2003-02,Feb 03,0.48,-19.45525292,Normal
2003-03,Mar 03,2.36,-22.22222222,Normal
2003-04,Apr 03,2.42,-24.11214953,Normal
2003-05,May 03,3.06,-27.99263352,Normal
2003-06,Jun 03,2.25,-28.83548983,Normal
2003-07,Jul 03,2.99,-26.98113208,Normal
2003-08,Aug 03,2.57,-5.882352941,Normal
2003-09,Sep 03,0.96,1.333333333,Normal
2003-10,Oct 03,1.72,12.41534989,Normal
2003-11,Nov 03,2.43,14.60674157,Normal
2003-12,Dec 03,1.09,9.307359307,Normal
2004-01,Jan 04,1.36,10,Normal
2004-02,Feb 04,0.12,18.11594203,Normal
2004-03,Mar 04,1.24,20.68965517,Normal
2004-04,Apr 04,2.42,25.86206897,Normal
2004-05,May 04,1.63,32.48081841,Normal
2004-06,Jun 04,0.82,43.37662338,Normal
2004-07,Jul 04,2.29,42.89405685,Normal
2004-08,Aug 04,1.19,26.62037037,Normal
2004-09,Sep 04,-0.04,16.88596491,Normal
2004-10,Oct 04,1.52,6.224899598,Normal
2004-11,Nov 04,0.95,-0.784313725,Normal
2004-12,Dec 04,1.32,0.396039604,Normal
2005-01,Jan 05,0.53,0.808080808,Normal
2005-02,Feb 05,0.4,3.680981595,Normal
2005-03,Mar 05,1.63,6.12244898,Normal
2005-04,Apr 05,3.28,0.978473581,Normal
2005-05,May 05,1.95,-5.212355212,Normal
2005-06,Jun 05,2.27,-13.58695652,Normal
2005-07,Jul 05,2.09,-16.99819168,Normal
2005-08,Aug 05,1.3,-16.63619744,Normal
2005-09,Sep 05,0.3,-15.19699812,Normal
2005-10,Oct 05,0.07,-14.17769376,Normal
2005-11,Nov 05,0.61,-6.324110672,Normal
